2527.96
5.12087
0.600767
-3.59775e-16
35
1	492	200	0.996631
1	397	263	0.996001
1	388	108	0.986385
1	174	117	0.991181
1	222	22	0.983269
1	214	46	0.983477
1	192	95	0.980784
1	455	286	0.949441
0	413	293	0.94824
1	395	173	0.94904
0	289	275	0.961937
0	397	345	0.947241
1	354	54	0.934344
1	487	149	0.903912
1	493	50	0.891229
1	271	42	0.934738
0	485	355	0.88337
1	400	139	0.885795
0	293	220	0.909458
0	268	122	0.903531
1	442	60	0.831486
1	150	15	0.927863
0	415	269	0.815508
0	329	203	0.836411
0	263	84	0.820511
0	69	31	0.943651
0	129	109	0.890854
0	132	69	0.88337
1	97	14	0.90735
1	122	8	0.870057
0	93	78	0.894619
0	109	73	0.874288
0	133	103	0.820511
1	52	5	0.898211
0	88	67	0.815164
