4581.1
0.000771358
75
0	237	235	0.999384
1	251	205	0.998428
1	348	157	0.996585
1	351	242	0.995699
1	404	326	0.993521
1	160	36	0.997335
1	158	23	0.995086
1	496	259	0.983983
1	450	223	0.9821
1	315	174	0.986679
1	394	225	0.982839
1	417	64	0.981025
1	238	141	0.989045
0	328	230	0.98432
1	269	40	0.986882
1	361	214	0.980555
1	233	115	0.987355
1	495	245	0.971075
0	111	91	0.992638
0	497	289	0.967825
0	216	209	0.985735
0	309	239	0.977742
1	422	106	0.969415
1	216	73	0.983444
1	260	125	0.979483
0	91	88	0.992706
1	267	32	0.978679
0	261	255	0.978746
0	411	301	0.96274
1	472	40	0.955129
1	433	141	0.956568
1	246	89	0.974669
0	297	235	0.969482
1	337	74	0.96551
1	409	169	0.955848
1	500	114	0.944278
0	494	459	0.941182
0	432	230	0.947773
1	375	76	0.953627
0	96	78	0.98749
0	403	284	0.947579
0	137	132	0.981428
1	187	28	0.973004
1	261	29	0.962608
0	255	153	0.963398
1	171	33	0.973736
0	351	303	0.947514
0	427	382	0.935916
0	101	85	0.983175
0	379	281	0.938481
1	292	74	0.951281
1	322	36	0.945442
1	387	40	0.933869
1	247	78	0.955848
0	267	120	0.951542
0	248	174	0.948292
0	243	175	0.947514
1	217	63	0.94959
1	81	22	0.978009
0	199	181	0.946995
1	113	31	0.968024
0	154	52	0.955129
0	186	143	0.944989
0	88	41	0.972538
1	121	16	0.962344
0	159	102	0.941697
0	140	126	0.939123
0	122	63	0.941053
0	80	26	0.958468
0	68	39	0.962081
1	113	9	0.938353
1	64	8	0.961094
0	52	27	0.963728
1	55	7	0.946995
1	65	18	0.93739
