5500
342	222	0.999556
413	195	0.999936
384	317	0.999583
108	63	0.999822
184	160	0.99998
293	171	0.999868
376	170	0.99993
402	261	0.999783
363	304	0.999662
183	179	0.999923
196	183	0.999559
424	223	0.999684
485	439	0.999756
429	180	0.99954
397	258	0.999825
238	127	0.999656
299	154	0.999836
450	196	0.99999
313	153	0.99959
57	26	0.999891
252	222	0.999975
112	80	0.999685
490	465	0.999959
326	97	0.99963
254	164	0.999929
65	46	0.999608
391	350	0.9997
183	132	0.999773
178	148	0.999845
103	76	0.999586
245	140	0.999849
429	253	0.999686
207	130	0.999679
200	103	0.999758
255	161	0.999833
240	180	0.9999
183	169	0.999578
256	85	0.999835
488	487	0.999785
261	167	0.999875
395	255	0.999545
298	156	0.999539
497	259	0.999761
75	44	0.999899
317	112	0.999822
112	103	0.999877
152	78	0.999665
373	220	0.99967
59	39	0.999878
344	171	0.999543
245	169	0.999973
374	296	0.99956
403	348	0.999593
170	92	0.999622
431	163	0.999585
97	96	0.999809
339	147	0.999959
114	100	0.999852
64	60	0.999625
440	259	0.999985
199	144	0.999637
105	75	0.999754
100	74	0.999536
273	135	0.999702
410	202	0.999672
60	45	0.999989
165	115	0.999937
98	36	0.999677
157	120	0.999756
500	250	0.999975
87	73	0.999583
359	329	0.999667
384	290	0.999821
174	129	0.999549
223	82	0.999935
422	282	0.999771
281	111	0.999847
342	279	0.999758
106	45	0.999957
225	176	0.999836
320	273	0.999593
373	217	0.999683
280	244	0.999841
230	218	0.999966
339	109	0.999837
455	131	0.999927
270	207	0.9997
377	197	0.999787
492	173	0.999777
259	197	0.999829
371	128	0.999596
450	424	0.999654
356	299	0.999581
429	153	0.999542
222	163	0.999946
91	34	0.999851
120	105	0.999999
60	40	0.999945
486	383	0.999717
383	149	0.999567
500	311	0.999965
129	67	0.999706
436	314	0.999967
460	371	0.999665
220	98	0.999838
105	72	0.999798
189	75	0.999622
266	157	0.999941
471	277	0.999806
126	114	0.999772
396	299	0.99972
65	53	0.999845
341	188	0.999719
87	55	0.999943
108	91	0.999947
395	294	0.999795
135	56	0.999562
73	36	0.999557
408	262	0.999885
343	204	0.999589
300	142	0.999571
204	166	0.999671
265	246	0.99969
242	217	0.999556
58	28	0.999704
460	415	0.999558
223	79	0.999611
372	273	0.999737
475	454	0.999999
436	348	0.999789
277	216	0.999971
58	38	0.999569
205	87	0.99976
471	365	0.999632
93	28	0.999797
113	63	0.999913
270	78	0.999662
324	190	0.999961
74	39	0.999932
151	146	0.999689
297	232	0.99998
348	312	0.999575
180	77	0.99976
273	191	0.999635
140	125	0.999715
256	208	0.999608
154	47	0.999596
399	309	0.999877
485	356	0.999867
242	124	0.999532
77	39	0.999819
103	78	0.999779
429	215	0.999637
198	131	0.999963
264	96	0.999943
417	325	0.999725
429	344	0.99971
62	25	0.999898
213	80	0.999788
414	316	0.999765
267	168	0.999891
347	270	0.999569
254	119	0.99962
77	56	0.999937
470	232	0.999596
480	169	0.999606
370	182	0.999535
448	320	0.999872
331	242	0.999606
190	175	0.999944
251	191	0.999616
294	178	0.999752
206	59	0.999616
254	197	0.999744
417	229	0.999687
247	203	0.99967
276	123	0.999975
499	426	0.999897
53	40	0.999606
225	132	0.999585
312	188	0.99986
151	79	0.999877
56	30	0.99981
213	107	0.999633
333	323	0.999574
400	278	0.999982
157	74	0.99967
71	40	0.99961
76	71	0.999989
235	183	0.999823
100	56	0.999542
171	156	0.999951
62	30	0.999891
103	43	0.999982
275	190	0.999694
216	124	0.999569
178	67	0.999693
195	141	0.99954
129	112	0.999761
105	72	0.999598
266	262	0.999917
89	42	0.999635
371	249	0.999855
392	233	0.999634
404	149	0.999833
177	115	0.999716
81	47	0.999815
304	190	0.999821
372	334	0.999683
192	182	0.999937
117	86	0.999833
114	62	0.999934
249	216	0.999721
249	229	0.999708
479	337	0.999777
409	276	0.999854
337	172	0.999721
350	255	0.999674
268	90	0.999916
302	277	0.99977
469	149	0.999608
465	391	0.999794
138	136	0.999807
130	43	0.999788
99	65	0.999607
108	69	0.999842
74	47	0.999562
335	257	0.999726
379	297	0.999946
252	209	0.999734
128	55	0.999828
335	118	0.999689
369	112	0.999988
401	357	0.999757
287	138	0.999812
115	38	0.999767
323	148	0.999733
382	279	0.999695
114	83	0.999708
418	169	0.999756
293	97	0.999902
184	108	0.999662
113	58	0.999631
409	365	0.999583
224	124	0.999974
422	331	0.999772
233	147	0.999831
