6556.4
0.00355405
110
1	286	154	0.999888
1	286	272	0.999721
1	286	137	0.999609
1	286	76	0.999581
1	286	236	0.999358
1	286	121	0.999051
1	286	122	0.998661
1	286	239	0.998605
1	286	111	0.998549
1	286	85	0.998326
1	286	72	0.998215
1	286	153	0.998131
0	286	285	0.997769
1	286	150	0.997435
1	286	234	0.997157
1	286	209	0.997129
1	286	80	0.996906
0	286	270	0.996628
1	286	180	0.996238
1	286	97	0.996016
1	286	126	0.99596
1	286	205	0.995793
1	286	233	0.995543
1	286	119	0.995432
1	286	221	0.995432
1	286	146	0.995349
0	286	261	0.995099
1	286	213	0.994877
1	286	102	0.993711
0	286	280	0.993711
0	286	275	0.993073
0	286	284	0.993045
1	286	175	0.992463
0	286	263	0.992214
1	286	197	0.991826
1	286	148	0.991743
0	286	272	0.991715
0	286	214	0.991549
1	286	202	0.991494
0	286	244	0.991217
1	286	169	0.99094
1	286	69	0.990719
1	286	149	0.989641
1	286	87	0.989116
0	286	207	0.989089
0	286	231	0.988399
0	286	190	0.988399
0	286	261	0.988178
0	286	245	0.98815
0	286	231	0.987847
0	286	224	0.987792
0	286	251	0.987461
1	286	110	0.987406
0	286	186	0.986992
0	286	242	0.986992
1	286	88	0.98691
1	286	112	0.986524
0	286	257	0.986497
1	286	131	0.986331
0	286	194	0.986304
1	286	171	0.986084
1	286	67	0.985918
1	286	97	0.985753
0	286	176	0.984598
1	286	81	0.984598
1	286	69	0.984433
1	286	78	0.984323
1	286	112	0.983554
0	286	261	0.983362
0	286	166	0.983252
0	286	253	0.982703
1	286	153	0.982594
0	286	231	0.982292
0	286	270	0.98199
1	286	81	0.981634
1	286	88	0.981552
1	286	73	0.981333
0	286	220	0.981059
0	286	262	0.980977
1	286	73	0.980949
0	286	245	0.980675
1	286	83	0.980237
1	286	134	0.979964
0	286	246	0.97898
0	286	153	0.978843
0	286	207	0.978133
0	286	269	0.978078
0	286	247	0.977914
0	286	222	0.977641
0	286	190	0.977396
0	286	196	0.977368
1	286	135	0.977341
1	286	148	0.977205
1	286	134	0.976796
1	286	106	0.976577
1	286	85	0.976496
0	286	246	0.976414
0	286	275	0.976196
1	286	81	0.976005
0	286	173	0.975705
0	286	153	0.975379
0	286	175	0.975052
0	286	251	0.975052
1	286	133	0.974671
1	286	118	0.97448
1	286	110	0.974018
0	286	265	0.973991
0	286	194	0.973637
0	286	159	0.973366
0	286	276	0.973203
